psa_iter,duration,dose,comp,mean_fm
1,8,150,0.25,0.32600390349745156
1,8,150,0.5,0.2196971740822879
1,8,150,0.75,0.1101384457396654
1,8,225,0.0,0.6258100828697145
1,8,225,0.25,0.4737433197826045
1,8,225,0.5,0.31735666365227727
1,8,225,0.75,0.16041451117253194
1,8,300,0.0,0.8084300772370101
1,8,300,0.25,0.6094747305058145
1,8,300,0.5,0.40296540194685193
1,8,300,0.75,0.20316003036399535
1,8,375,0.0,0.9656711540788886
1,8,375,0.25,0.704070607324606
1,8,375,0.5,0.4754095964801808
1,8,375,0.75,0.238498362582543
1,8,450,0.0,1.1061035440572413
1,8,450,0.25,0.8222801835516611
1,8,450,0.5,0.5545028695737175
1,8,450,0.75,0.2718808980440522
1,12,0,0.0,0.0
1,12,0,0.25,0.0
1,12,0,0.5,0.0
1,12,0,0.75,0.0
1,12,75,0.0,0.32862461101146745
1,12,75,0.25,0.24733709054869985
1,12,75,0.5,0.165850778235879
1,12,75,0.75,0.08134034604883146
1,12,150,0.0,0.6530837823283387
1,12,150,0.25,0.4863301516236769
1,12,150,0.5,0.3228435510753288
1,12,150,0.75,0.1640427387829646
1,12,225,0.0,0.9485982518869007
1,12,225,0.25,0.7157900237788604
1,12,225,0.5,0.4781818594984541
1,12,225,0.75,0.24019921500676808
1,12,300,0.0,1.20113577956054
1,12,300,0.25,0.908785790514906
1,12,300,0.5,0.5940883244034518
1,12,300,0.75,0.30265463612874977
1,12,375,0.0,1.4558417419075385
1,12,375,0.25,1.087263056158914
1,12,375,0.5,0.7244398264936256
1,12,375,0.75,0.36116928417260286
1,12,450,0.0,1.6495392527932908
1,12,450,0.25,1.230057151767706
1,12,450,0.5,0.8291200195219001
1,12,450,0.75,0.41528800369923474
1,16,0,0.0,0.0
1,16,0,0.25,0.0
1,16,0,0.5,0.0
1,16,0,0.75,0.0
1,16,75,0.0,0.4391188903266149
1,16,75,0.25,0.32985941519332235
1,16,75,0.5,0.21856728660894809
1,16,75,0.75,0.11057345647075982
1,16,150,0.0,0.876809695019351
1,16,150,0.25,0.6628051413738436
1,16,150,0.5,0.43883131134425657
1,16,150,0.75,0.2210853466327875
1,16,225,0.0,1.2567331245655062
1,16,225,0.25,0.9509901369488891
1,16,225,0.5,0.6263292294454266
1,16,225,0.75,0.32135280586844134
1,16,300,0.0,1.6113638677128208
1,16,300,0.25,1.203766592123145
1,16,300,0.5,0.8079035850226675
1,16,300,0.75,0.39158963595549495
1,16,375,0.0,1.9177267039421908
1,16,375,0.25,1.4385260806716134
1,16,375,0.5,0.965214051618137
1,16,375,0.75,0.47760359198581365
1,16,450,0.0,2.196777905614791
1,16,450,0.25,1.661136376208162
1,16,450,0.5,1.1093415086172558
1,16,450,0.75,0.562382117145623
1,24,0,0.0,0.0
1,24,0,0.25,0.0
1,24,0,0.5,0.0
1,24,0,0.75,0.0
1,24,75,0.0,0.649460617429206
1,24,75,0.25,0.49061538557298207
1,24,75,0.5,0.33283923099665075
1,24,75,0.75,0.16669582665973623
1,24,150,0.0,1.3133830460120142
1,24,150,0.25,0.993279116071038
1,24,150,0.5,0.6550440972431811
1,24,150,0.75,0.3283823484251671
1,24,225,0.0,1.8955958664395511
1,24,225,0.25,1.4209432793261816
1,24,225,0.5,0.9475002389409725
1,24,225,0.75,0.47360281858970876
1,24,300,0.0,2.4288228324398378
1,24,300,0.25,1.8054739349629332
1,24,300,0.5,1.2047359659435897
1,24,300,0.75,0.6107474308679456
1,24,375,0.0,2.871379727899896
1,24,375,0.25,2.1340076838185404
1,24,375,0.5,1.4475590402881806
1,24,375,0.75,0.7319058870137658
1,24,450,0.0,3.312619706742542
1,24,450,0.25,2.530197834347896
1,24,450,0.5,1.6637173631193414
1,24,450,0.75,0.8440805466826484
2,8,0,0.0,0.0
2,8,0,0.25,0.0
2,8,0,0.5,0.0
2,8,0,0.75,0.0
2,8,75,0.0,0.2540893393607241
2,8,75,0.25,0.1910098925269569
2,8,75,0.5,0.12693203061301658
2,8,75,0.75,0.06398980272685267
2,8,150,0.0,0.5109654792972254
2,8,150,0.25,0.3814739272948492
2,8,150,0.5,0.25821897508248715
2,8,150,0.75,0.12299493131709917
2,8,225,0.0,0.7449351012999362
2,8,225,0.25,0.5606118787254631
2,8,225,0.5,0.3729572187140593
2,8,225,0.75,0.18666405755023172
2,8,300,0.0,0.9751388464262188
2,8,300,0.25,0.7295488401643202
2,8,300,0.5,0.4973544099293045
2,8,300,0.75,0.24567207716288197
2,8,375,0.0,1.2129641371178346
2,8,375,0.25,0.9059297882337638
2,8,375,0.5,0.6020979178049396
2,8,375,0.75,0.29793778370288954
2,8,450,0.0,1.4230453171043742
2,8,450,0.25,1.0591488786413414
2,8,450,0.5,0.7144743273567642
2,8,450,0.75,0.35964871498986817
