duration,dose,comp,psa_l,psa_median,psa_u
8,0,0.0,0.0,0.0,0.0
8,0,0.25,0.0,0.0,0.0
8,0,0.5,0.0,0.0,0.0
8,0,0.75,0.0,0.0,0.0
8,75,0.0,0.1762650800280512,0.21830058012134906,0.26473576008397204
8,75,0.25,0.13220058769463872,0.16381012332064684,0.19880120042961036
8,75,0.5,0.08817760448410264,0.10935917276121346,0.13230526244072252
8,75,0.75,0.04395790758253251,0.054828187138425744,0.06645543155160537
8,150,0.0,0.35175393418792483,0.43623818752020227,0.5274564897244431
8,150,0.25,0.26589897019039543,0.3279509114151369,0.39572227789308073
8,150,0.5,0.17686144028895381,0.21806521214001284,0.2649673455057188
8,150,0.75,0.08774221420361868,0.10972269062032575,0.13361569120238154
8,225,0.0,0.5145543431597621,0.6380719291059717,0.7755583183430013
8,225,0.25,0.3861160698542565,0.4804667426656559,0.5817112914329947
8,225,0.5,0.2556515135608997,0.3198191086353651,0.38776612937341026
8,225,0.75,0.12876116065963392,0.1609143132336368,0.19525518521577476
8,300,0.0,0.6607369468967754,0.8288862446106406,1.0164963903741122
8,300,0.25,0.49711545505164356,0.6227836865968798,0.7603448276210086
8,300,0.5,0.3298365793680371,0.41565826892197244,0.5057816847395783
8,300,0.75,0.1663150930793794,0.20717584406825998,0.25633593347468797
8,375,0.0,0.798555585908195,1.012337991186675,1.2461343988591733
8,375,0.25,0.5990789575994993,0.7590364607148915,0.9343232283351047
8,375,0.5,0.3987453932248256,0.5045042055554517,0.6221864984506136
8,375,0.75,0.19983525167328361,0.25313160776411725,0.3113334283272175
8,450,0.0,0.936474655642908,1.1799125086785245,1.4661756631213243
8,450,0.25,0.698594797852829,0.8865351994102528,1.0972078471501407
8,450,0.5,0.46492666621769735,0.5913830806634321,0.7318464415684675
8,450,0.75,0.23560295181205676,0.2959311572719254,0.36877911069689273
12,0,0.0,0.0,0.0,0.0
12,0,0.25,0.0,0.0,0.0
12,0,0.5,0.0,0.0,0.0
12,0,0.75,0.0,0.0,0.0
12,75,0.0,0.2650711297105805,0.32804815030504664,0.39407147397168774
12,75,0.25,0.19933016363143582,0.24653317877581424,0.2984554308021538
12,75,0.5,0.13316095498802777,0.1642835631871714,0.1980066454923174
12,75,0.75,0.06633009948352349,0.08221938368609291,0.1007142305887175
12,150,0.0,0.52969822635413,0.6561843578067644,0.7963439931796767
12,150,0.25,0.39701144711283703,0.49151367389999895,0.5933835635566123
12,150,0.5,0.26313532514350385,0.3276106266529949,0.3956316709333818
12,150,0.75,0.13335224533992623,0.1642462137527047,0.20037385438271627
12,225,0.0,0.7688044235651688,0.9607280272559712,1.1624188894708767
12,225,0.25,0.5766078180218198,0.718446063363839,0.8745072849953859
12,225,0.5,0.3845015467303699,0.47865659995575743,0.584272931716882
12,225,0.75,0.1951161127842908,0.23996068412924015,0.29457691986571605
12,300,0.0,0.994996318428531,1.2451433095572155,1.5188562927257134
12,300,0.25,0.7454307885190068,0.9324468906030646,1.1435033442839388
12,300,0.5,0.49602432019476184,0.6228205662495843,0.7598668797499054
12,300,0.75,0.25094106404734784,0.31270507463684616,0.38237872336355166
12,375,0.0,1.1991407089646633,1.5135612139048913,1.86274668206682
12,375,0.25,0.8993535988951032,1.1378135787855468,1.3983444631492299
12,375,0.5,0.5945956131789532,0.758675588768774,0.9381407806730747
