duration,dose,comp,mean_fm,sd_fm,mcse_mean,p5,p25,p50,p75,p95,iqr,low_response_prop,mean_exee_week,mean_intake_comp_week,mean_neat_reduction_week,mean_at_reduction_week,mean_net_deficit_week
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,75,0.0,0.21843809834825834,0.07179311084549238,0.0007179311084549237,0.11007453350816522,0.16809555120254938,0.21248181320830095,0.26255133225323235,0.3454400823070392,0.09445578105068297,0.9994,376.21376718181494,0.0,0.0,0.0,307.369709138293
8,75,0.25,0.16509393911272705,0.06811617890734163,0.0006811617890734163,0.06556834571151554,0.11472519216658583,0.1588207012110853,0.20734890257955085,0.2880007093127896,0.09262371041296502,1.0,376.21376718181494,38.43774229463319,23.062645376779912,15.375096917853277,232.30780907399608
8,75,0.5,0.11017352989473654,0.055444303587068956,0.0005544430358706896,0.036380559214619475,0.06899379186408253,0.10151028626611998,0.14219039463286443,0.21444261124184244,0.0731966027687819,1.0,376.21376718181494,76.86912209297354,46.121473255784124,30.747648837189416,155.02792825313114
8,75,0.75,0.055394943346657795,0.04539746501940226,0.00045397465019402265,0.0052702972164858355,0.02103388056094978,0.04378800888151615,0.07756820797395718,0.1460595057288234,0.0565343274130074,1.0,376.21376718181494,115.86623570874266,69.51974142524558,46.346494283497066,77.94760965666585
8,150,0.0,0.4394363042420284,0.14400036921602025,0.0014400036921602024,0.22436199557450065,0.33674853400585036,0.4285454457833022,0.5297312816776153,0.693490818174702,0.19298274767176493,0.6874,752.4275343636299,0.0,0.0,0.0,618.3418096065642
8,150,0.25,0.32971592145522843,0.13682534907995983,0.0013682534907995983,0.1308407811428518,0.2298441640828135,0.31565885805402694,0.41643916558478505,0.5745288127100109,0.18659500150197156,0.8842,752.4275343636299,76.7212786977432,46.032767218645915,30.68851147909728,463.9515159776883
8,150,0.5,0.21999301934740378,0.10971257028844567,0.0010971257028844566,0.0711016929208677,0.13956524633284217,0.20350029097559427,0.2816086935081954,0.42180577858302215,0.14204344717535322,0.983,752.4275343636299,154.15510035473594,92.49306021284156,61.66204014189439,309.55767734921557
8,150,0.75,0.10954169946260865,0.089582827373841,0.0008958282737384101,0.011008009148891934,0.04206351674813316,0.0873193425962358,0.1527624262226422,0.28641291359084475,0.11069890947450903,0.997,752.4275343636299,230.74908133227024,138.4494487993622,92.29963253290812,154.1388638563232
8,225,0.0,0.6426937738548075,0.21220257459823016,0.0021220257459823016,0.3268521360582948,0.49394380712523694,0.622992003834604,0.7749029356731205,1.020039716002112,0.2809591285478836,0.2624,1128.6413015454445,0.0,0.0,0.0,904.350476535446
8,225,0.25,0.4813852355647672,0.19909104251861057,0.0019909104251861058,0.19135220690949978,0.335696724858512,0.45996881809234824,0.606417572999936,0.8393284431720256,0.27072084814142405,0.5754,1128.6413015454445,113.00141853185617,67.80085111911372,45.20056741274248,677.3691995940732
8,225,0.5,0.32116005271880105,0.16356359471422455,0.0016356359471422456,0.10033617233903597,0.19836297858379306,0.2970341732651869,0.4171829618585039,0.6267824748050926,0.21881998327471083,0.8626,1128.6413015454445,224.84684635297646,134.90810781178587,89.93873854119059,451.91233918194285
8,225,0.75,0.15969153866893668,0.13344472742740854,0.0013344472742740853,0.015781958061616416,0.05893138678026065,0.12457245001615713,0.22424169318263165,0.42690899284307465,0.165310306402371,0.974,1128.6413015454445,338.5424143324601,203.12544859947604,135.41696573298407,224.7059563495275
