anchor,duration_weeks,dose_min_week,compensation_mean,mean_delta_fm,psa_lower,psa_median,psa_upper,low_response_probability,additive_prediction,attenuation_vs_additive_pct,source_note
primary,12,300,0.5,0.6293,0.496,0.6228,0.7599,0.3925,1.247,49.54,mean_delta_fm and additive_prediction derived from scenario_summary_v2_2.csv; PSA interval derived from psa_parametric_summary_v2_2.csv
secondary_high_volume,12,450,0.5,0.8922,0.6995,0.885,1.1008,0.201,1.7883,50.11,mean_delta_fm and additive_prediction derived from scenario_summary_v2_2.csv; PSA interval derived from psa_parametric_summary_v2_2.csv
