comp,dose,delta_fm
0.0,75,0.3895887008672976
0.0,75,0.2823338540139706
0.0,75,0.3428191552480552
0.0,75,0.3034863416044843
0.0,75,0.1666794580606848
0.0,75,0.2920327634755832
0.0,75,0.3108293870172545
0.0,75,0.4928070632431804
0.0,75,0.3833121195929438
0.0,75,0.2811004291876286
0.0,75,0.2919222149087356
0.0,75,0.2896696304313022
0.0,75,0.2153771853991604
0.0,75,0.3421007992640275
0.0,75,0.5859246992135732
0.0,75,0.4151178201181585
0.0,75,0.1389330572027989
0.0,75,0.3895435375000001
0.0,75,0.5526316682512675
0.0,75,0.5116981307880312
0.0,75,0.5162803599943685
0.0,75,0.623223071984902
0.0,75,0.265213958483554
0.0,75,0.560155780886579
0.0,75,0.2350218242996175
0.0,75,0.4161188969041158
0.0,75,0.2610407737848448
0.0,75,0.2543313304715071
0.0,75,0.1891886890773355
0.0,75,0.34680280065823
0.0,75,0.4208215302901238
0.0,75,0.338533320941437
0.0,75,0.2196673116354334
0.0,75,0.5643827661636031
0.0,75,0.3363295806611381
0.0,75,0.2523578936947878
0.0,75,0.3542740965394303
0.0,75,0.2893615834650146
0.0,75,0.3040509291144396
0.0,75,0.254727221241785
0.0,75,0.2912888413089807
0.0,75,0.2224853046512817
0.0,75,0.431608953848744
0.0,75,0.2614471691389351
0.0,75,0.3864165690918758
0.0,75,0.3093129887866689
0.0,75,0.2683572247943055
0.0,75,0.2864782129506967
0.0,75,0.3118526911227843
0.0,75,0.2487423256224608
0.0,75,0.2955714519249132
0.0,75,0.3586076474845052
0.0,75,0.3928814398113263
0.0,75,0.327243120210757
0.0,75,0.2022672967536144
0.0,75,0.2315129597190548
0.0,75,0.2634910840184462
0.0,75,0.2584879190527151
0.0,75,0.2134433712983941
0.0,75,0.4708922180157169
0.0,75,0.452147778414661
0.0,75,0.5291895333069221
0.0,75,0.2118845262814702
0.0,75,0.4479279796239945
0.0,75,0.4208430538608524
0.0,75,0.3931654465734128
0.0,75,0.4449716975101299
0.0,75,0.4498094992507818
0.0,75,0.3569007321791645
0.0,75,0.1989711545605197
0.0,75,0.2260686384485596
0.0,75,0.1552102354662389
0.0,75,0.2772097009377086
0.0,75,0.4586240865511199
0.0,75,0.2560639199041731
0.0,75,0.2513374619374207
0.0,75,0.4605868348322173
0.0,75,0.3736489770177452
0.0,75,0.2969245677935237
0.0,75,0.3212334797632468
0.0,75,0.2932015246213523
0.0,75,0.249255272451847
0.0,75,0.3879906163399143
0.0,75,0.2096499500545985
0.0,75,0.2294157513008002
0.0,75,0.2797387423904185
0.0,75,0.4284553834236924
0.0,75,0.2487674412852059
0.0,75,0.2395434521592783
0.0,75,0.4877992275782178
0.0,75,0.3293293719724746
0.0,75,0.233776031350125
0.0,75,0.3865059063450347
0.0,75,0.2751614149913275
0.0,75,0.1649761568965808
0.0,75,0.4032110060381332
0.0,75,0.3581100207819281
0.0,75,0.2963199996156439
0.0,75,0.4524425178898117
0.0,75,0.2987585847778067
0.0,75,0.2807989069139925
0.0,75,0.2508497125501578
0.0,75,0.3991920679656577
0.0,75,0.3524416609132942
0.0,75,0.2468479867906331
0.0,75,0.4358674298919113
0.0,75,0.2560639604793445
0.0,75,0.2592296921611051
0.0,75,0.2532919894932679
0.0,75,0.3629241804655589
0.0,75,0.6371395550879522
0.0,75,0.3610698333513744
0.0,75,0.3351275998538645
0.0,75,0.5866956725452245
0.0,75,0.3541137220905699
0.0,75,0.3310305212505887
0.0,75,0.3327701587308894
0.0,75,0.3473357115126169
0.0,75,0.4092007437996425
0.0,75,0.2634421467472876
0.0,75,0.2419731461073713
0.0,75,0.3501811471055118
0.0,75,0.4548998473965166
0.0,75,0.2576777346496262
0.0,75,0.3742787931951964
0.0,75,0.3702552047973637
0.0,75,0.3561441179523828
0.0,75,0.3080073539530411
0.0,75,0.2889015306740163
0.0,75,0.2583493413739071
0.0,75,0.3087656339955048
0.0,75,0.3518220441333283
0.0,75,0.3552905194164398
0.0,75,0.3668379856451472
0.0,75,0.3969403760034433
0.0,75,0.5166255005612951
