duration,dose,comp,low_response_prop,mean_fm
12,75,0.0,0.9344,0.3279560330526043
12,75,0.25,0.9819,0.2473830253789538
12,75,0.5,0.9988,0.1647391770376471
12,75,0.75,1.0,0.0818007152218859
12,150,0.0,0.243,0.6580893559845162
12,150,0.25,0.5494,0.4915531384654364
12,150,0.5,0.8532,0.328949638018888
12,150,0.75,0.9736,0.1651321415843885
12,225,0.0,0.0553,0.9644064220277574
12,225,0.25,0.2434,0.7215569541014475
12,225,0.5,0.589,0.4811966961781576
12,225,0.75,0.899,0.2394705689406976
12,300,0.0,0.0189,1.247019473912945
12,300,0.25,0.119,0.9393620913063668
12,300,0.5,0.3925,0.6292919686204601
12,300,0.75,0.8043,0.3128695954474899
12,375,0.0,0.0082,1.5228848666983938
12,375,0.25,0.0696,1.1426709631414902
12,375,0.5,0.274,0.761557136111972
12,375,0.75,0.7102,0.3875892689685068
12,450,0.0,0.0034,1.7882557332436313
12,450,0.25,0.0467,1.3315135688906798
12,450,0.5,0.201,0.8922476978483628
12,450,0.75,0.6489,0.4489635152775567
