duration,dose,comp,mean_fm,sd_fm,mcse_mean,p5,p25,p50,p75,p95,iqr,low_response_prop,mean_exee_week,mean_intake_comp_week,mean_neat_reduction_week,mean_at_reduction_week,mean_net_deficit_week
8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,75,0.0,0.2184380983482583,0.0717931108454923,0.0007179311084549,0.1100745335081652,0.1680955512025493,0.2124818132083009,0.2625513322532323,0.3454400823070392,0.0944557810506829,0.9994,376.2137671818149,0.0,0.0,0.0,307.369709138293
8,75,0.25,0.165093939112727,0.0681161789073416,0.0006811617890734,0.0655683457115155,0.1147251921665858,0.1588207012110853,0.2073489025795508,0.2880007093127896,0.092623710412965,1.0,376.2137671818149,38.43774229463319,23.062645376779912,15.375096917853275,232.30780907399608
8,75,0.5,0.1101735298947365,0.0554443035870689,0.0005544430358706,0.0363805592146194,0.0689937918640825,0.1015102862661199,0.1421903946328644,0.2144426112418424,0.0731966027687819,1.0,376.2137671818149,76.86912209297354,46.121473255784124,30.747648837189416,155.02792825313114
8,75,0.75,0.0553949433466577,0.0453974650194022,0.000453974650194,0.0052702972164858,0.0210338805609497,0.0437880088815161,0.0775682079739571,0.1460595057288234,0.0565343274130074,1.0,376.2137671818149,115.86623570874266,69.51974142524558,46.346494283497066,77.94760965666585
8,150,0.0,0.4394363042420284,0.1440003692160202,0.0014400036921602,0.2243619955745006,0.3367485340058503,0.4285454457833022,0.5297312816776153,0.693490818174702,0.1929827476717649,0.6874,752.4275343636299,0.0,0.0,0.0,618.3418096065642
8,150,0.25,0.3297159214552284,0.1368253490799598,0.0013682534907995,0.1308407811428518,0.2298441640828135,0.3156588580540269,0.416439165584785,0.5745288127100109,0.1865950015019715,0.8842,752.4275343636299,76.7212786977432,46.03276721864592,30.68851147909728,463.9515159776883
8,150,0.5,0.2199930193474037,0.1097125702884456,0.0010971257028844,0.0711016929208677,0.1395652463328421,0.2035002909755942,0.2816086935081954,0.4218057785830221,0.1420434471753532,0.983,752.4275343636299,154.15510035473594,92.49306021284156,61.66204014189439,309.5576773492156
8,150,0.75,0.1095416994626086,0.089582827373841,0.0008958282737384,0.0110080091488919,0.0420635167481331,0.0873193425962358,0.1527624262226422,0.2864129135908447,0.110698909474509,0.997,752.4275343636299,230.74908133227024,138.4494487993622,92.29963253290812,154.1388638563232
8,225,0.0,0.6426937738548075,0.2122025745982301,0.0021220257459823,0.3268521360582948,0.4939438071252369,0.622992003834604,0.7749029356731205,1.020039716002112,0.2809591285478836,0.2624,1128.6413015454443,0.0,0.0,0.0,904.350476535446
8,225,0.25,0.4813852355647672,0.1990910425186105,0.0019909104251861,0.1913522069094997,0.335696724858512,0.4599688180923482,0.606417572999936,0.8393284431720256,0.270720848141424,0.5754,1128.6413015454443,113.00141853185616,67.80085111911372,45.20056741274248,677.3691995940732
8,225,0.5,0.321160052718801,0.1635635947142245,0.0016356359471422,0.1003361723390359,0.198362978583793,0.2970341732651869,0.4171829618585039,0.6267824748050926,0.2188199832747108,0.8626,1128.6413015454443,224.84684635297648,134.90810781178587,89.93873854119059,451.91233918194285
8,225,0.75,0.1596915386689366,0.1334447274274085,0.001334447274274,0.0157819580616164,0.0589313867802606,0.1245724500161571,0.2242416931826316,0.4269089928430746,0.165310306402371,0.974,1128.6413015454443,338.5424143324601,203.12544859947604,135.41696573298407,224.7059563495275
