parameter,high,low,range
AT cap fraction,0.0,0.0,0.0
RMR residual SD,0.0,0.0,0.0
NEAT cap fraction,0.0,0.0,0.0
Comp variance,0.3981145206725484,0.2162339395717291,0.18188058110081928
MET SD,1.532671713682655,-0.2648585002168082,1.7975302138994633
Adherence dose penalty,-4.209100055334669,3.5591215831014305,7.768221638436099
Adherence base mean,13.555614360015229,-12.708573357197492,26.26418771721272
MET mean,13.694663580449074,-12.720613720014036,26.41527730046311
